* Log started at 2025/4/4 19:40:45
* DragonRuby Game Toolkit
*   Version: 6.23
*   Tier: Standard
*   GIT Hash: b9ba2652ac016be4bed171795e0ce6fa39d3ac82
*   Build Date: Mar 20 2025 19:12:10
* Platform: Linux
* 
* *******************************************************************************************
* *** This is the Standard license build!                                                 ***
* *** Get more with an Indie or Pro license such as C extensions, mobile dev, and Steam!  ***
* *** Details at http://dragonruby.org/#purchase                                          ***
* *******************************************************************************************
* 
- Starting publish for game in directory 'mygame'
- Developer ID: Davidm8624
- Developer Title: David
- Game ID: dragon-shooter
- Game Title: Target practice
- Game Version: 1.0
- Game Icon: metadata/icon.png
- Package ID: org.Davidm8624.dragon-shooter
- Creating directory 'builds' ...
- Building for platform 'linux-amd64' ...
- Creating directory 'builds/dragon-shooter-linux-amd64-1.0' ...
- Creating directory 'builds/dragon-shooter-linux-amd64-1.0/sprites' ...
- Creating directory 'builds/dragon-shooter-linux-amd64-1.0/sprites/triangle' ...
- Creating directory 'builds/dragon-shooter-linux-amd64-1.0/sprites/triangle/equilateral' ...
- Copying 'mygame/sprites/triangle/equilateral/orange.png' to 'builds/dragon-shooter-linux-amd64-1.0/sprites/triangle/equilateral/orange.png'...
- Copying 'mygame/sprites/triangle/equilateral/yellow.png' to 'builds/dragon-shooter-linux-amd64-1.0/sprites/triangle/equilateral/yellow.png'...
- Copying 'mygame/sprites/triangle/equilateral/green.png' to 'builds/dragon-shooter-linux-amd64-1.0/sprites/triangle/equilateral/green.png'...
- Copying 'mygame/sprites/triangle/equilateral/blue.png' to 'builds/dragon-shooter-linux-amd64-1.0/sprites/triangle/equilateral/blue.png'...
- Copying 'mygame/sprites/triangle/equilateral/indigo.png' to 'builds/dragon-shooter-linux-amd64-1.0/sprites/triangle/equilateral/indigo.png'...
- Copying 'mygame/sprites/triangle/equilateral/violet.png' to 'builds/dragon-shooter-linux-amd64-1.0/sprites/triangle/equilateral/violet.png'...
- Copying 'mygame/sprites/triangle/equilateral/red.png' to 'builds/dragon-shooter-linux-amd64-1.0/sprites/triangle/equilateral/red.png'...
- Creating directory 'builds/dragon-shooter-linux-amd64-1.0/sprites/t-pose' ...
- Copying 'mygame/sprites/t-pose/orange.png' to 'builds/dragon-shooter-linux-amd64-1.0/sprites/t-pose/orange.png'...
- Copying 'mygame/sprites/t-pose/yellow.png' to 'builds/dragon-shooter-linux-amd64-1.0/sprites/t-pose/yellow.png'...
- Copying 'mygame/sprites/t-pose/green.png' to 'builds/dragon-shooter-linux-amd64-1.0/sprites/t-pose/green.png'...
